item_no,descr,item_vend_no,prc_1,lst_cost,categ_cod,subcat_cod,addl_descr_1,addl_descr_2,addl_descr_3,prof_alpha_1,prof_alpha_2,prof_alpha_3,nam,phone_1,ap_vend_no,vend_descr,vend_item_no,barcod,qty_on_hnd,lst_recv_dat,lst_sal_dat
24169,Elad Lassry On Onions,1208,30,16.5,BOOKS,CONTEMP,,perfect likeness,,,,,DAP/Perseus,800-343-4499,,Elad Lassry On Onions,9780985136413,,5,4/9/15,
24175,Stan Douglas,1208,75,41.252,BOOKS,PHOTO,,core HCC,perfect likeness,,,,DAP/Perseus,800-343-4499,,Stan Douglas,9783869307480,,5,4/9/15,
18688,Magnatab Upper Case,8861,28,15,KIDS MERCH,,,,,,,,KID O,212-366-5858,,Magnatab,,,5,3/26/15,6/23/15
24118,Game Tops Tails,218,12.95,6.8635,BOOKS,CHILDREN,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Game Tops Tails,9780714868745,,5,3/26/15,5/6/15
22402,Tealight Holder Sm Lavendar,310,14,3.3816,HOME,DECOR,,,,Klevering,,,& Klevering,,,Tealight Holder Sm Lavendar,1308-29,,5,2/27/15,6/28/15
23989,Nude Animal Cigar,667,58.5,35.1,BOOKS,PHOTO,,,,,,,IDEA BOOKS C/O GALGIANI,,,Nude Animal Cigar,9789490800284,,5,2/27/15,
23107,Winston and George,193,17.99,10.053,BOOKS,CHILDREN,Enchanged Lion,,,,,,PERSEUS DISTRIBUTION,Perseus 800-343-4499,,Winston and George,9781592701452,,5,2/26/15,5/7/15
22328,An Inquiry Into Meaning & Trut,2525,48,26.4,BOOKS,CONTEMP,,,,,,,RAM PUBLICATIONS USA,,,An Inquiry Into Meaning & Trut,9789491677090,,5,2/25/15,4/4/15
23706,Pinot Blanc  Flake Salt,322,15,6.6,HOME,EDIBLES,,,,,,,Jacobsen Sea Salt,,,Pinot Blanc  Flake Salt,,,5,2/25/15,1/17/15
23228,Animal Kingdon Playing Cards,364,6.95,4.17,HOME,MISC,,,,,,,Theory 11,,,Animal Kingdon Playing Cards,,,5,2/5/15,6/4/15
23797,Books keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,Books keychain,BOOKS_ASST COLORS,,5,1/27/15,6/23/15
23806,ZINESTER keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,ZINESTER keychain,ASST COLORS,,5,1/27/15,6/5/15
21798,Wood Ball Pen Asst Colors,272,11,5,HOME,DESKTOP,,,,,,,Sweet Bella,,,Wood Ball Pen Asst Colors,DLBP13,,5,1/23/15,5/24/15
14819,COLORS,8886,26,13.83,BOOKS,CHILDREN,,,,"VERONESI,L",400,,Corraini Edizioni,,,COLORS,9788886250481,,5,1/20/15,6/4/15
22862,Tumbling Old Women,8886,14,7.68,BOOKS,CHILDREN,,,,,,,Corraini Edizioni,,,Tumbling Old Women,B88INGL,,5,1/20/15,3/21/15
23309,Blocks Shapemaker,1121,75,37.5,KIDS MERCH,,,,,,,,NEO-UTILITY,,,Blocks Shapemaker,,,5,1/13/15,3/3/15
20916,Topsy Turvy World,193,18.95,10.613,BOOKS,CHILDREN,,,,,,,PERSEUS DISTRIBUTION,Perseus 800-343-4499,,Topsy Turvy World,9781909263048,,5,1/2/15,9/14/14
23656,Mushroom Seasonal card,9042,4,2.25,STATIONERY,NOTECARD,,,,,,,CAROLYN SUZUKI GOODS,,,Mushroom Seasonal card,256,,5,12/19/14,1/2/15
23733,Zoo Puzzle Fredun Shapur,412,26,10.83,KIDS MERCH,,,,,,,,Piqpoq,,,Zoo Puzzle Fredun Shapur,,,5,12/16/14,6/26/15
22528,Slide Tin,322,4,1.8,HOME,EDIBLES,,,,,,,Jacobsen Sea Salt,,,Slide Tin,,,5,12/5/14,6/28/15
23666,Mouse King notecard,408,4.5,2.25,STATIONERY,NOTECARD,,,,,,,Rifle Paper Co.,,,Mouse King notecard,GCX020,,5,12/2/14,12/27/14
23592,Art Schooled,1208,22.95,12.853,BOOKS,YR,,,,,,,DAP/Perseus,800-343-4499,,Art Schooled,9781907704826,,5,10/30/14,6/23/15
23540,10 Times 10,218,15.95,8.7725,BOOKS,CHILDREN,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,10 Times 10,9781849765472,,5,10/23/14,4/12/15
23541,Butterfly House,218,19.95,10.9725,BOOKS,CHILDREN,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Butterfly House,9781849762052,,5,10/23/14,3/1/15
23560,Friet NR 1,667,10.5,6.3,BOOKS,DESIGN,,,,,,,IDEA BOOKS C/O GALGIANI,,,Friet NR 1,9789072532251,,5,10/23/14,1/18/15
23505,pretzel rattle blabla,139,18,9,KIDS MERCH,DOLL,,,,,,,BLABLA,,,pretzel rattle blabla,1-12-051,,5,10/17/14,5/17/15
23401,You Call That Art?!,218,24.95,12.22,BOOKS,CHILDREN,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,You Call That Art?!,9781419713071,,5,10/10/14,2/21/15
23257,Pincushion Grey,370,30,10.4144,HOME,MISC,,,,,,,Daruma,,,Pincushion Grey,1200-00GY,,5,9/30/14,12/6/14
23258,Pincushion Yellow,370,30,10.4144,HOME,MISC,,,,,,,Daruma,,,Pincushion Yellow,1200-00YL,,5,9/30/14,1/2/15
23294,Queen Anne's Lace tea strainer,372,300,150,HOME,KITCHEN,,,,,,,Ted Muehling Inc.,,,Queen Anne's Lace tea strainer,TEASTR,,5,9/11/14,12/23/14
21420,x - Camera Lighter,255,100,55,HOME,DECOR,,Japan,,,,,Kiosk,212.226.8601,,Camera Lighter,,,5,8/21/14,6/21/15
23152,stripe felicidades notecard,360,5,2.35,STATIONERY,NOTECARD,,,,,,,Anemone Letterpress,6262009693,,stripe felicidades notecard,1635,,5,8/19/14,6/9/15
23158,blue rug pattern notecard,360,5,2.35,STATIONERY,NOTECARD,,,,,,,Anemone Letterpress,6262009693,,blue rug pattern notecard,1823,,5,8/19/14,6/27/15
22405,Tealight Holder Lg Stripe,310,16,5.29,HOME,DECOR,,,,Klevering,,,& Klevering,,,Tealight Holder Lg Stripe,1307-32,,5,7/31/14,6/19/15
4604,MARY KELLY,7148,45,23.85,BOOKS,MODERN,PAIDON,,,"IVERSEN,M",107,,PHAIDON PRESS,,,MARY KELLY,9780714836614,,5,6/17/14,3/13/14
22088,Brooch Eye,289,130,47.664,JEWELRY,PINS,,,,Yaz Bukey,,,Yaz Bukey,,,Brooch Eye,YPF14-19,,5,6/5/14,5/17/15
22522,Roe Ethridge & Zin Taylor,321,35,21,BOOKS,CONTEMP,,greg,perfect likeness,,,,Karma,917-675-7508,,Roe Ethridge & Zin Taylor,9781938560316,,5,4/29/14,
22179,Lives of Great Artisits,393,19.95,10.9725,BOOKS,CHILDREN,,,,,,,W.W. NORTON & CO. INC.,(800) 233-4830,,Lives of Great Artisits,9780500238530,,4,6/30/15,
20242,This Is Not My Hat,394,15.99,9.11,BOOKS,CHILDREN,,,,Jon Klassen,,,"RANDOM HOUSE, INC.",800-726-0600,,This Is Not My Hat,9780763655990,,4,6/29/15,6/14/15
21057,I Want my Hat Back,555,15.99,9.11,BOOKS,CHILDREN,,,,jon klassen,,,INGRAM BOOK DISTRIBUTORS,800-937-8200,,I Want my Hat Back,9780763655988,,4,6/29/15,5/30/15
23950,Hippopposites,218,15.95,9.09,BOOKS,,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Hippopposites,9781419701511,,4,6/29/15,6/4/15
24784,Dragons Love Tacos,14,16.99,9.68,BOOKS,CHILDREN,,,,,,,PENGUIN GROUP,1005194-Gift account susa,,Dragons Love Tacos,9780803736801,,4,6/29/15,
24713,Race and the Subject of Mascul,8223,27.95,13.975,BOOKS,ART CRIT,,,,,,,DUKE UNIVERSITY PRESS,888-387-5687,,Race and the Subject of Mascul,9780822319665,,4,6/26/15,
24736,Munari's Books,218,40,21.6,BOOKS,DESIGN,,,,bruno munari,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Munari's Books,9781616893866,,4,6/25/15,
24669,Hippest Trip in America Soul T,444,15.99,9.11,BOOKS,ESO WON,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Hippest Trip in America Soul T,9780062221049,,4,6/24/15,
24679,Maritcha A 19th Century Americ,444,9.95,5.67,BOOKS,ESO WON,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Maritcha A 19th Century Americ,9781419716263,,4,6/24/15,
22181,Color me in,393,14.95,8.2225,BOOKS,CHILDREN,,,,,,,W.W. NORTON & CO. INC.,(800) 233-4830,,Color me in,9780500650172,,4,6/18/15,
22182,Dot to Dot,393,15.95,8.7725,BOOKS,CHILDREN,,,,,,,W.W. NORTON & CO. INC.,(800) 233-4830,,Dot to Dot,9780500650158,,4,6/18/15,
23554,Francis Upritchard Alfred Kubi,667,33.5,20.1,BOOKS,CONTEMP,,,,,,,IDEA BOOKS C/O GALGIANI,,,Francis Upritchard Alfred Kubi,9781907421044,,4,6/18/15,
24486,Necklace Two,450,42,21,JEWELRY,NECKLACES,,,,Fiona Higgins,,,Fiona Higgins,,,Necklace Two,TWO,,4,6/18/15,
24630,It Chooses You,444,16,9.12,BOOKS,CONTEMP,,,,Miranda July,,,BAKER & TAYLOR CO.,800-775-1700,,It Chooses You,9781938073014,,4,6/18/15,6/14/15
24723,Osmos Magazine Issue 8,1208,25,13.75,BOOKS,MAG,,,,,,,DAP/Perseus,800-343-4499,,Osmos Magazine Issue 8,9780990698005,,4,6/18/15,
24726,Why Dogs Have Wet Noses,1208,17.95,10.052,BOOKS,CHILDREN,,,,,,,DAP/Perseus,800-343-4499,,Why Dogs Have Wet Noses,9781592701735,,4,6/18/15,
24728,Book About Signs,1208,11.95,6.693,BOOKS,CHILDREN,,,,,,,DAP/Perseus,800-343-4499,,Book About Signs,9781908714190,,4,6/18/15,
21424,Copper Grater,255,92,49.5,HOME,KITCHEN,,Japan,,,,,Kiosk,212.226.8601,,Copper Grater,,,4,6/17/15,4/5/15
21751,Bell Sheep,255,26,14.3,HOME,,,,,,,,Kiosk,212.226.8601,,Bell Sheep,,,4,6/17/15,5/27/15
24361,Corita Kent Art and Soul,883318,40,20,BOOKS,CONTEMP,,,,,,,ANGEL CITY PRESS,,,Corita Kent Art and Soul,9781626400207,,4,6/13/15,5/6/15
20469,Someday is Now Corita Kent,37913,49.95,27.4725,BOOKS,CONTEMP,,core hcc,,,,,PRESTEL,(888) 463-6110,,Someday is Now Corita Kent,97837913523336,,4,6/12/15,5/22/15
24414,How Big is Big How Far is Far,37913,24.95,13.72,BOOKS,CHILDREN,gestalten,,,,,,PRESTEL,(888) 463-6110,,How Big is Big How Far is Far,9783899557329,,4,6/12/15,
24416,Honey Hunter,37913,24.95,13.72,BOOKS,CHILDREN,gestalten,,,,,,PRESTEL,(888) 463-6110,,Honey Hunter,9783899557305,,4,6/12/15,
24594,Heroes Gods and Monsters of Gr,444,6.99,3.98,BOOKS,GENERAL,,,,Greek Myth,,,BAKER & TAYLOR CO.,800-775-1700,,Heroes Gods and Monsters of Gr,9780553259209,,4,6/12/15,
24711,Jam Raspberry Vanilla,429,12.5,7.25,HOME,EDIBLES,,,Kevin West Public Program Fashion & Food,Sqirl,,,Sqirl,,,Jam Raspberry Vanilla,,,4,6/12/15,6/25/15
24718,The Thing Issue 26 Orozco,309,85,42.5,HOME,MISC,,boomerang,,,,,Thing Quarterly,,,The Thing Issue 26 Orozco,,,4,6/12/15,
24234,I'm Isa Genzken,2525,27,14.85,BOOKS,CONTEMP,,,,,,,RAM PUBLICATIONS USA,,,I'm Isa Genzken,9783956790812,,4,6/11/15,4/10/15
24255,Noon on Moon,2525,20,11,BOOKS,POETRY,,,,,,,RAM PUBLICATIONS USA,,,Noon on Moon,9783956791239,,4,6/11/15,
21005,Mel Bochner: If the Color,2525,45,24.75,BOOKS,,,core HCC,,,,,RAM PUBLICATIONS USA,,,Mel Bochner: If the Color,9781905464661,,4,6/10/15,1/12/14
24171,Andrea Bowers,1208,39.95,21.98,BOOKS,CONTEMP,,core greg HCC,,,,,DAP/Perseus,800-343-4499,,Andrea Bowers,9780985625139,,4,6/10/15,
24469,More Than You Wanted to Know 1,1208,29.95,16.473,BOOKS,,,core ?,baldessari cranston,,,,DAP/Perseus,800-343-4499,,More Than You Wanted to Know A,9783037641927,,4,6/10/15,
24484,Nicole Eisenman Selected Works,1208,62,37.2,BOOKS,CONTEMP,,core,,,,,DAP/Perseus,800-343-4499,,Nicole Eisenman Selected Works,9783883759180,,4,6/10/15,6/10/15
9487,LA OBJECT & DAVID HAMMONS BODY,1208,65,35.75,BOOKS,CONTEMP,,TILTON NDT,,"CHARLWOOD,L",107,,DAP/Perseus,800-343-4499,,LA OBJECT & DAVID HAMMONS BODY,9781427613745,,4,6/10/15,4/5/13
24611,Howl and other Poems,444,7.95,4.53,BOOKS,POETRY,,alan ginsberg,,,,,BAKER & TAYLOR CO.,800-775-1700,,Howl and other Poems,9780872860179,,4,6/9/15,6/14/15
24616,Radio Benjamin,444,29.95,17.07,BOOKS,ART CRIT,,walter benjamin,,,,,BAKER & TAYLOR CO.,800-775-1700,,Radio Benjamin,9781781685754,,4,6/9/15,
24628,Reality Sandwiches 1953-1960,444,9.95,5.67,BOOKS,POETRY,,alan ginsberg,,,,,BAKER & TAYLOR CO.,800-775-1700,,Reality Sandwiches 1953-1960,9780872860216,,4,6/9/15,
24461,Gordon Parks Back to Fort Scot,1208,39.95,21.9725,BOOKS,PHOTO,,,,,,,DAP/Perseus,800-343-4499,,Gordon Parks Back to Fort Scot,9783969309187,,4,6/3/15,
24463,Latin America in Construction,1208,65,35.75,BOOKS,ARCH,,,,,,,DAP/Perseus,800-343-4499,,Latin America in Construction,9780870709630,,4,6/3/15,
24525,Keyring Fabric Modern Art,106,10,4.4468,HOME,MISC,,,,,,,Third Drawer Down,,,Keyring Fabric Modern Art,,,4,6/3/15,6/25/15
24532,Tea Towel Chef,106,22,9.1846,HOME,KITCHEN,,,,Craig Damrauer,,,Third Drawer Down,,,Tea Towel Chef,,,4,6/3/15,6/19/15
24586,The Nature of Photography,218,24.95,14.97,BOOKS,PHOTO,,,,Stephen Shore,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,The Nature of Photography,9780714859040,,4,6/3/15,
24687,Deep Deep Sea,,7.99,3.995,BOOKS,,,,,,,,,,,,,,4,6/3/15,6/21/15
4748,TACITA DEAN Phaidon,218,49.95,26.4725,BOOKS,MODERN,,core HCC,,"ROYOUX,J",107,,"HACHETTE BOOK GROUP, USA",800-759-0190,,TACITA DEAN Phaidon,9780714844282,,4,6/3/15,12/24/14
21824,door keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,door keychain,,,4,6/2/15,6/27/15
21848,my place keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,my place keychain,,,4,6/2/15,6/10/15
21873,your place keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,your place keychain,,,4,6/2/15,6/20/15
23483,Dot and Line Neclkace White,391,48,21,JEWELRY,NECKLACES,,,,,,,Cursive Design,,,Dot and Line Neclkace,SS14-001 WHITE,,4,6/2/15,6/26/15
23484,Mobile Necklace,391,88,39,JEWELRY,NECKLACES,,,,,,,Cursive Design,,,Mobile Neclkace,SS15-008-M01,,4,6/2/15,6/5/15
23821,Color Theory 14 Necklace,391,74,33,JEWELRY,NECKLACES,,,,,,,Cursive Design,,,Color Theory 14 Necklace,CTN14-2014,,4,6/2/15,4/30/15
1692,SOLAR SYSTEM & REST ROOMS WRIT,166,39.95,20.774,BOOKS,MODERN,,core HCc,,BOCHNER MEL,,,TriLiteral,8004051619,580623,SOLAR SYSTEM & REST ROOMS WRIT,9780262026314,,4,5/28/15,
24498,Ed Ruscha's Los Angeles,262,34.95,18.174,BOOKS,CONTEMP,MIT,,,,,,"MIT PRESS, ORDER DEPT.",,,Ed Ruscha's Los Angeles,9780262013642,,4,5/28/15,
20033,Unbored,312,25,13.5,BOOKS,CHILDREN,,,,,,,MPS,888-330-8477,136115,Unbored,9781608196418,,4,5/27/15,6/24/15
24354,Candle Vetiver Lemon,441,32,16,HOME,DECOR,,,,,,,Wary Meyers,,,Candle Vetiver Lemon,02C,,4,5/27/15,6/19/15
24358,Soap Sea Air,441,14,7,HOME,DECOR,,,,,,,Wary Meyers,,,Soap Sea Air,,,4,5/27/15,6/23/15
24499,My Snake Blake,312,16.99,9.1746,BOOKS,CHILDREN,,,,,,,MPS,888-330-8477,136115,My Snake Blake,9781596435841,,4,5/27/15,
24538,Henry Taylor,444,40,22.8,BOOKS,CONTEMP,,,,,,,BAKER & TAYLOR CO.,800-775-1700,,Henry Taylor,9780984177646,,4,5/27/15,
22362,Francesca Woodman,1208,65,37.05,BOOKS,PHOTO,,,,,,,DAP/Perseus,800-343-4499,,Francesca Woodman,9781938922411,,4,5/22/15,1/10/15
21248,Jason Rhoades Four Roads,37913,75,41.25,BOOKS,,,,,,,,PRESTEL,(888) 463-6110,,Jason Rhoades Four Roads,9783791352923,,4,5/20/15,10/26/14
24504,LAPD '53,218,24.95,13.7225,BOOKS,PHOTO,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,LAPD '53,9781419715853,,4,5/20/15,
22281,Wiggle,218,6.99,3.98,BOOKS,CHILDREN,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Wiggle,,,4,5/15/15,5/20/15
22879,Peter Konitz,341,20,12,BOOKS,CONTEMP,,,,,,,Alice Konitz/LAMOA,,,Peter Konitz,,,4,5/15/15,
23127,Records by Artists: 1958-1990,667,46.5,27.9,BOOKS,ART CRIT,,,,,,,IDEA BOOKS C/O GALGIANI,,,Records by Artists: 1958-1990,9788897753087,,4,5/15/15,5/24/15
23191,Take Away The A,193,17.95,10.23,BOOKS,CHILDREN,,,,,,,PERSEUS DISTRIBUTION,Perseus 800-343-4499,,Take Away The A,9781592701568,,4,5/15/15,3/14/15
23297,"Design Line: Planes, Trains, A",394,17.99,10.25,BOOKS,CHILDREN,,,,,,,"RANDOM HOUSE, INC.",800-726-0600,,"Design Line: Planes, Trains, A",9780763671211,,4,5/15/15,3/7/15
24177,Stan Douglas,667,31.5,18.9,BOOKS,PHOTO,,core HCC,perfect likeness,,,,IDEA BOOKS C/O GALGIANI,,,Stan Douglas,9781908612311,,4,5/15/15,
23145,Thomas Heatherwick Making,500,60,35.2264,BOOKS,ARCH,,,,,,,THAMES & HUDSON,,,Thomas Heatherwick Making,9780500290934,,4,5/11/15,6/27/15
24445,Doris Salcedo,226,50,27,BOOKS,CONTEMP,,,,,,,UNIV OF CHICAGO PRESS,,55050,Doris Salcedo,9780226244587,,4,5/6/15,5/16/15
23586,Dog shaker,403,9,4.5,KIDS MERCH,,,,,,,,Greentones & Hohner,1-800-349-9541,,Dog shaker,3796,,4,4/30/15,5/10/15
24227,"Ickles, Critical Spatial 5",2525,22,12.1,BOOKS,CONTEMP,,,,,,,RAM PUBLICATIONS USA,,,"Ickles, Critical Spatial 5",9783956790737,,4,4/30/15,
24241,Ricarda Roggan Apokryphen,2525,39.95,21.9725,BOOKS,CONTEMP,,,,,,,RAM PUBLICATIONS USA,,,Ricarda Roggan Apokryphen,9783944669830,,4,4/30/15,
24245,Sietsema At The Hour of Tea,2525,49,26.95,BOOKS,CONTEMP,,,,,,,RAM PUBLICATIONS USA,,,Sietsema At The Hour of Tea,9783956790782,,4,4/30/15,6/20/15
24249,O Write My Name,2525,50,27.5,BOOKS,CONTEMP,,,,,,,RAM PUBLICATIONS USA,,,O Write My Name,9780871300706,,4,4/30/15,
24376,Richard Tuttle Textiles,218,45,27,BOOKS,CONTEMP,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Richard Tuttle Textiles,9781849763196,,4,4/30/15,5/6/15
24049,Malibu Honey,431,15,8,HOME,EDIBLES,,,Sara Rara Pollinators MILA  2014,,,,Malibu Honey,,,Malibu Honey,,,4,4/28/15,6/25/15
24347,Jumbo Harmonica,8861,15,7.5,KIDS MERCH,INSTRUMENT,,,,,,,KID O,212-366-5858,,Jumbo Harmonica,843583003859,,4,4/24/15,6/13/15
24349,Pattern Stacker,8861,30,15,KIDS MERCH,INSTRUMENT,,,,,,,KID O,212-366-5858,,Pattern Stacker,843583003941,,4,4/24/15,
22911,Hammer Hat Orange,248,22,10.95,HAMMER MER,,,,,,,,Ellen's Silkscreening,,,Hammer Hat Orange,GWT 111 THREAD 1765,,4,4/23/15,6/28/15
23726,Iridescence of Birds Mattise,312,17.99,10.25,BOOKS,CHILDREN,,,,,,,MPS,888-330-8477,136115,Iridescence of Birds Mattise,9781596439481,,4,4/23/15,3/5/15
24031,Sock White,314,22,6.98,APPAREL,MERCHAND,,,,,,,Bonne Maison,,,Sock White,UN1 01,,4,4/23/15,5/21/15
24340,Lina Bo Bardi: 100,1208,75,41.25,BOOKS,CONTEMP,,,,,,,DAP/Perseus,800-343-4499,,Lina Bo Bardi: 100,9783775738538,,4,4/23/15,
21964,Banana Small Pin,272,34,15,JEWELRY,PINS,,,,,,,Sweet Bella,,,Banana Small Pin,MLBB01-BO,,4,4/15/15,11/20/14
24104,Semina Culture Wallace Berman,1208,50,27.5,BOOKS,CONTEMP,,,,,,,DAP/Perseus,800-343-4499,,Semina Culture Wallace Berman,9781938922725,,4,4/10/15,5/19/15
24106,Source Material Vitra Design M,1208,29.95,16.4725,BOOKS,ART CRIT,,,,,,,DAP/Perseus,800-343-4499,,Source Material Vitra Design M,9783931936976,,4,4/10/15,
24184,Poems That Do Not Go Together,1208,29.95,17.97,BOOKS,CONTEMP,Exhition on artist,,,Jimmie Durham,,,DAP/Perseus,800-343-4499,,Poems That Do Not Go Together,9783981128888,,4,4/9/15,5/28/15
24272,Vegetables in Underwear,218,14.95,8.2225,BOOKS,CHILDREN,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Vegetables in Underwear,9781419714641,,4,4/9/15,6/28/15
24197,October 151,2621,16,9.6,BOOKS,MAG,,,,,,,MIT PRESS JOURNALS,,,October 151,,,4,4/3/15,5/6/15
24203,Coignet Conversations,667,28.5,17.1,BOOKS,ART CRIT,,,,,,,IDEA BOOKS C/O GALGIANI,,,Coignet Conversations,9791092727074,,4,4/3/15,6/25/15
18615,Moon Man,7148,16.95,8.9835,BOOKS,CHILDREN,,,,"Ungerer, Tomi",,,PHAIDON PRESS,,,Moon Man,9780714855981,,4,3/26/15,5/24/15
22577,Wolfgang Tillmans,218,69.95,37.0735,BOOKS,CONTEMP,,perfect likeness,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Wolfgang Tillmans,9780714867045,,4,3/26/15,8/3/14
22655,Notecard Party Animals,308,4.5,2.25,STATIONERY,NOTECARD,,,,,,,Red Cap,,,Notecard Party Animals,JONO903,,4,3/26/15,6/26/15
22661,Notecard Hello Friend,308,4.5,2.25,STATIONERY,NOTECARD,,,,,,,Red Cap,,,Notecard Koko Oddball,CHR1249,,4,3/26/15,6/20/15
23426,"One, Two, Where's my Shoe?",218,14.95,7.9235,BOOKS,CHILDREN,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,"One, Two, Where's my Shoe?",9780715867984,,4,3/26/15,3/31/15
24121,Jonathan and Martha,218,14.95,7.9235,BOOKS,CHILDREN,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Jonathan and Martha,9780714863511,,4,3/26/15,6/5/15
24122,Trail Game,218,12.95,6.8635,BOOKS,CHILDREN,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Trail Game,9780714868769,,4,3/26/15,6/11/15
24126,Notecard Father lily pads,308,4.5,2.25,STATIONERY,NOTECARD,,,,,,,Red Cap,,,Notecard Father lily pads,ANN1479,,4,3/26/15,6/19/15
24136,Dalmation notecard,408,4.5,2.25,STATIONERY,NOTECARD,,,,,,,Rifle Paper Co.,,,Dalmation notecard,GCM011,,4,3/26/15,6/27/15
23613,Separate Cinema,20706,75,37.5,BOOKS,DESIGN,,,,,,,NATIONAL BOOK NETWORK,,,Separate Cinema,9781909526068,,4,3/25/15,4/7/15
23907,Eames Anthology,166,50,27,BOOKS,DESIGN,,,,,,,TriLiteral,8004051619,580623,Eames Anthology,9780300203455,,4,3/20/15,
24021,Strange Plants II,354,35,17,BOOKS,CONTEMP,,,,,,,Chelsea Fulcher /Zio,,,Strange Plants II,,,4,3/20/15,6/11/15
23526,Green Snake rattle,396,17.95,8,KIDS MERCH,DOLL,,,,,,,Pebble,330 612 5850,,Green Snake rattle,200-099SG,,4,3/17/15,5/28/15
23532,Elephant doll,396,29.95,15,KIDS MERCH,DOLL,,,,,,,Pebble,330 612 5850,,Elephant doll,200-010ELE,,4,3/17/15,5/4/15
24157,Color & Form Memory Game,20706,29.95,13.4775,KIDS MERCH,MERCHAND,,,,Johannes Iten,,,NATIONAL BOOK NETWORK,,,Color & Form Memory Game,9783721208658,,4,3/17/15,
22332,The Artist's House,2525,40,22,BOOKS,ART CRIT,,,,,,,RAM PUBLICATIONS USA,,,The Artist's House,9783943365306,,4,3/13/15,6/4/15
23227,"Sam Falls, Death Sequence",321,40,24,BOOKS,CONTEMP,,,,,,,Karma,917-675-7508,,"Sam Falls, Death Sequence",,,4,3/10/15,12/4/14
23715,Dash Snow Love Roses,321,20,12,BOOKS,PHOTO,,,,,,,Karma,917-675-7508,,Dash Snow Love Roses,,,4,3/10/15,
24005,Thomas Struth,198,60,36,BOOKS,PHOTO,,,,,,,Mack,,,Thomas Struth,9781910164129,,4,3/10/15,
24009,Vanilla Partner Rodlan,198,60,30,BOOKS,PHOTO,,,,Torbjorn Rodland,,,Mack,,,Vanilla Partner Rodlan,9781907946318,,4,3/10/15,
24012,Typology 1979 Joachim Brohm,198,60,36,BOOKS,PHOTO,,,,Joachim Brohm,,,Mack,,,Typology 1979 Joachim Brohm,9781907946646,,4,3/10/15,
24013,Eight Women Collier Schorr,198,55,33,BOOKS,PHOTO,,,,Collier Schorr,,,Mack,,,Eight Women Collier Schorr,9781907946424,,4,3/10/15,
24026,"La Nil, Julian Schnabel",321,30,18,BOOKS,CONTEMP,,,,Julian Schnabel,,,Karma,917-675-7508,,"La Nil, Julian Schnabel",9781938560729,,4,3/10/15,
21819,bicycle keychain,275,15,7,HOME,MISC,,,,,,,Various Keytags,(212) 505-5599,,bicycle keychain,,,4,3/6/15,6/20/15
22536,x Caramels (M.B.P.),323,8,4,HOME,EDIBLES,,,maple and black pepper,,,,Quin Candy,,,Caramels (M.B.P.),MAPLE AND BLACK PEPP,,4,3/6/15,6/4/15
23220,"Ed Ruscha, Karma & Gagosian",321,30,18,BOOKS,CONTEMP,,,,,,,Karma,917-675-7508,,"Ed Ruscha, Karma & Gagosian",,,4,2/26/15,11/29/14
23711,Duane Hanson Flea Market Lady,321,20,12,BOOKS,CONTEMP,,,,,,,Karma,917-675-7508,,Duane Hanson Flea Market Lady,,,4,2/26/15,
24042,Fucked Up + Photocopies,9075339,40,20,BOOKS,BOOKS,,,,,,,GINGKO PRESS,,,Fucked Up + Photocopies,978154230007,,4,2/26/15,5/2/15
23960,Forest Feast box of cards,218,18.95,9.6645,STATIONERY,NOTECARD,,,,,,,"HACHETTE BOOK GROUP, USA",800-759-0190,,Forest Feast box of cards,9781419715693,,4,2/20/15,6/26/15
23885,Romilda The Frog,8886,19,10.53,BOOKS,CHILDREN,,,,,,,Corraini Edizioni,,,Romilda The Frog,,,4,2/17/15,6/10/15
23893,The Soft House,8886,28,15.359,BOOKS,CHILDREN,,,,,,,Corraini Edizioni,,,The Soft House,,,4,2/17/15,
